Date Changed,User,Event
"Oct 27, 2023, 4:47 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001833387 to KeHE Distributors LLC for $11.40"
"Oct 27, 2023, 4:47 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001832377 to KeHE Distributors LLC for $3.82"
"Oct 27, 2023, 4:47 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001827964 to KeHE Distributors LLC for $1.70"
"Oct 27, 2023, 4:47 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001824804 to KeHE Distributors LLC for $3.97"
"Oct 27, 2023, 4:47 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001823214 to KeHE Distributors LLC for $16.77"
"Oct 27, 2023, 4:47 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001820069 to KeHE Distributors LLC for $15.88"
"Oct 27, 2023, 4:47 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. BI813318 to KeHE Distributors LLC for $250.00"
"Oct 27, 2023, 4:47 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. AMP212976518 to KeHE Distributors LLC for $0.30"
"Oct 27, 2023, 4:47 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. AMP072145619 to KeHE Distributors LLC for $5.65"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. HF11083719 to KeHE Distributors LLC for $34.37"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. HEM56863219 to KeHE Distributors LLC for $78.61"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001819078 to KeHE Distributors LLC for $4.09"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001814649 to KeHE Distributors LLC for $0.86"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001813440 to KeHE Distributors LLC for $1.23"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001811486 to KeHE Distributors LLC for $7.94"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001809921 to KeHE Distributors LLC for $14.43"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001806811 to KeHE Distributors LLC for $13.86"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001805804 to KeHE Distributors LLC for $3.44"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CMF6994819 to KeHE Distributors LLC for $5.35"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. BGF33759019 to KeHE Distributors LLC for $0.61"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. 21393754 to KeHE Distributors LLC for $41.64"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. 0411289 to KeHE Distributors LLC for $84.32"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. 0327506 to KeHE Distributors LLC for $131.21"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. 0300129 to KeHE Distributors LLC for $1347.84"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. 0297962 to KeHE Distributors LLC for $608.90"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. 0275114 to KeHE Distributors LLC for $81.68"
"Oct 27, 2023, 4:44 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. 0066794 to KeHE Distributors LLC for $1044.31"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. RF2963919 to KeHE Distributors LLC for $0.84"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. RDF15897701 to KeHE Distributors LLC for $150.00"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. MSF376218 to KeHE Distributors LLC for $471.20"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. H0267801725 to KeHE Distributors LLC for $135.00"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001801335 to KeHE Distributors LLC for $0.43"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001798167 to KeHE Distributors LLC for $1.56"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001796601 to KeHE Distributors LLC for $14.43"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001793447 to KeHE Distributors LLC for $8.12"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CS001792424 to KeHE Distributors LLC for $7.11"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. CMF6895119 to KeHE Distributors LLC for $6.08"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. AMP212899218 to KeHE Distributors LLC for $0.15"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. AMP072047419 to KeHE Distributors LLC for $10.78"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. AFS14524012 to KeHE Distributors LLC for $162.56"
"Oct 27, 2023, 4:30 pm Central Daylight Time","Strata Cloud Accountants","Added Credit Memo No. 21281899 to KeHE Distributors LLC for $62.46"
"Oct 27, 2023, 4:01 pm Central Daylight Time","Levi Hardeman","Signed In. "
"Oct 27, 2023, 1:35 pm Central Daylight Time","Strata Cloud Accountants","Edited Bill Payment (Check) to Endorphin Farms for $48277.75"
"Oct 27, 2023, 1:33 pm Central Daylight Time","Strata Cloud Accountants","Matched Bill Payment (Check) to Endorphin Farms for $3600.00"
"Oct 27, 2023, 1:33 pm Central Daylight Time","Strata Cloud Accountants","Added Bill Payment (Check) to Endorphin Farms for $3600.00"
"Oct 27, 2023, 1:31 pm Central Daylight Time","Strata Cloud Accountants","Matched Bill Payment (Check) to Endorphin Farms for $17047.84"
"Oct 27, 2023, 1:31 pm Central Daylight Time","Strata Cloud Accountants","Added Bill Payment (Check) to Endorphin Farms for $17047.84"
"Oct 27, 2023, 1:31 pm Central Daylight Time","Strata Cloud Accountants","Matched Bill Payment (Check) to Endorphin Farms for $4607.16"
